"AIQ"|"Asgarnia MudSkipper Point"
"AJQ"|"Dark cave south of Dorgesh-Kaan" 
"AJR"|"Slayer Cave SouthEast of Relleka, Troll Strong Hold, and Rock Crabs"
"AKQ"|"Kandarin: Piscatoris, Phoenix Cave, Falconer, and MonkFish"
"AKS"|"Feldip area" 
"ALQ"|"Mortyania: Haunted Woods East of Canifis"  
"ALS"|"Kandarin: McGrubor's Wood, Coal Trucks, Fishing Guild, Hemenster"  
"KIQ"|"Kharidian Desert: Shanty, Kalphite Lair, Bedabin Camp" 
"BJQ"|"Ancient Cavern: Mirthril Dragons and Waterfieds"  
"BJR"|"Fisher Realm"  
"BKP"|"Feldip Hills, South of CastleWars, Chompy, and Jiggig" 
"BKR"|"Morytania: Mort Myre, Canifis, Nature Spirit Alter" 
"BLP"|"TzHarr"  
"BLR"|"Legends Guild, Thormac's Tower Witchaven" 
"CIP"|"Miscellania" 
"CIQ"|"Yanille: Tree Gnome Village and Castle Wars" 
"CJR"|"Kandarin: Relieka, Seers/Camalot Maple Trees"  
"CKR"|"Karamja: Shilo, Nature Alter, Tai Bwo Wannai"  
"CKS"|"Morytania: Kharyll Teleport, Mushroom Patch, Burgh De Rott, Slayer Tower"  
"CLS"|"Yanille Island: Hazelmere and Jungle Spiders" 
"DIS"|"Misthalin: Wizard Tower, Draynor, Lumberage Swamp, RuneCrafting Guild" 
"DJP"|"Kandarin:  Tower of Life, Ardougne, and Port Khazard" 
"DJR"|"Kandarin: Sinclair Mansion" 
"DKP"|"Musa Point"  
"DKR"|"Misthalin: EdgeVille and GrandExchange"  
"DKS"|"Kandarin: Snowy/Polar Hunder Area" 
"DLQ"|"Kharidian: Desert Lizards, Nardah, Ruins Uzer" 
"DLS"|"Myreque: Hollows and Blood Alter"
